sha,message,date,result
cde459d4914b867321c3ff2bdcf3d8062e858445,"Reset git history, inital commit",2019-01-25 15:14:46+01:00,False
e78be164a688c121ea20432af33971e6e11d570c,Update to 3.3.6,2019-02-20 20:04:17+01:00,False
ea796716691460e5019f9cf65c9060aa09aebf14,Update to 3.4.2,2019-03-31 13:07:56+02:00,False
58415efd8327e03205cc66f61df7dfc40d4672a7,Update README.md,2019-04-29 20:09:11+02:00,False
f511732bfe0aa82b0cc20f688184697746734c44,Update to 3.4.3,2019-05-08 03:36:11+02:00,False
ad6fab5ee413876588b55fbd87d7898fb0e977f5,[add] DBLs on readme,2019-05-26 15:32:25+02:00,False
b5467f1c3e8f01e8696000c58c41e6bbd2d01486,Update to 3.5.3,2019-08-24 15:26:39+02:00,False
5741bd1f91ec2d056a0a01ffa196cf6de3cf9e73,Update to 3.5.8,2019-09-29 21:58:45+02:00,False
3b2d061bd8b32ec90aa849459ffa0fcc08f778f0,[fix] images in readme.mc,2020-10-04 00:08:13+02:00,False
049ad21a4c7f58f375b6b7632c5b0dcb4dd01398,Update to 3.6.9,2020-10-17 18:42:54+02:00,False
0927e01acdd58a9c55c0afafb7cd82b7110649e2,[update] botlist become discordlist,2021-03-27 14:12:20+01:00,False
c2f987ec47b22cca379821291ee7216d66bd4820,[update] ReadMe badges,2021-04-10 12:23:00+02:00,False
b32f2b8d1067e8211e278bc8d4770f919f50f7be,Update to 3.7.2,2021-04-19 01:01:08+02:00,False
939987febe56f3ebb97d5858d8c34af200344b84,[FIX] license url in readme,2021-07-06 19:37:13+02:00,False
6cb08f63a906c8a8af93a0ee9e421d750f7814e4,[update] migrate to discord.py 2.0,2021-10-14 17:05:49+02:00,False
c23b23978e17ab33de2c8fa1430bac56f17e8341,[update] merge 2.0 branch,2021-12-28 11:50:49+01:00,False
1c1c07f7416683b9d8f50318aa50e6177be24fa2,feat(readme): update readme badges,2022-01-09 00:32:27+01:00,False
