sha,message,date,result
f799c820261a3ce03e9f1beb32ff91a787f55cf3,Initial commit,2018-03-17 16:13:05+01:00,False
324532b4dc75957f2577adf8486084e2daf94a4d,Initial version,2018-03-18 12:51:30+01:00,True
e50119589d6dd5198ad69d32b6097d101dd6709a,Add Codacy badge,2018-04-29 22:25:16+02:00,False
bf27ec29280441b0c0a1f7eb168431859abfde89,Update README.md,2018-04-30 01:19:27+02:00,False
c12fca16e92cbbc3789385ccdc5eaf3cc79c83c2,"Update README.md (#16)

Add codeclimate badges and fix markdown issues.",2018-04-30 17:34:35+02:00,True
4112740ca9e4b9a3afd9e84530f48e7b8ca86331,Update README.md,2018-04-30 20:11:39+02:00,False
e245cf97c99072712fb8ac006a7c36d8226bc1d0,Update README.md,2018-04-30 20:38:11+02:00,False
35fbac7259a2ca47b0c33e950ce20cf02d11dc75,Update README.md,2018-04-30 20:57:32+02:00,False
362acdca3d5a43ca8babd509ff300ada71947f95,Update README.md,2018-05-01 18:50:46+02:00,True
61a2074ef3a4d79a5e98baf71f9be1072ba44ce0,Update README.md,2018-05-01 21:18:30+02:00,False
e71cfedd8fb5d09a9437dfd6efd9c66183795d2b,Update README.md (#156),2019-10-13 01:28:33+02:00,False
1bcc12352b54e89fee113383ef51db64fb3fc87e,Update README.md,2020-04-13 16:51:41+02:00,False
dd312fdf4c208beb1eb74494f48d327203106173,Add GitHub Actions badge to README.md (#201),2020-04-13 23:16:28+02:00,False
b1ce3755e1d9a1aa0b912533ae8710d26bab094c,"Offer alternative solution for Auxmoney (#202)

I tried to write a configuration for this project to handle Auxmoney exports. Unfortunately, that is not possible in a meaningful way. Therefore, I created a separate project to handle this and would like to offer your audience to use this as well.

Co-authored-by: ChrisRBe <31167512+ChrisRBe@users.noreply.github.com>",2020-05-02 17:23:24+02:00,False
8d5924fa8b4822ae3740ae2b95aee078927161dd,add initial support for debitum network,2020-09-10 09:22:02+01:00,True
fb792e92686a7f9915f84fea1ca2694712dc48a4,Add black badge to README.md,2020-11-05 23:19:50+01:00,False
beeffb2c4d2146266a700d49718a2c28674c0824,Add pre-commit badge,2020-11-18 00:33:43+01:00,False
b63ac29dc342edd7f4c8e42f80777a4cd6a06106,Remove empty line from README.md,2020-11-18 00:41:03+01:00,False
c8e489b2edb772c1b8152beed48a4cee1b88d6f2,Update readme,2020-11-28 13:42:41+01:00,True
95929797da26783d2f7ff3cae8fc247d07167f0d,Update README: Add daily aggregation,2021-01-17 12:47:35+01:00,False
d9bde936074e4cc17edc72c052a4d08ff6fe3753,Update README.md,2021-09-06 19:41:13+02:00,False
cadd453ea9d152d8bfd8a87186c37b8c8503812b,"Add support for viainvest

This adds support for parsing viainvest account statements. Withdrawals are currently not supported, only deposits and interest payments.",2021-12-12 13:18:10+01:00,False
84afa7c97c46d4f5e35ba78a34ef53187fa2f0ab,Improve README for test example,2022-04-07 14:11:38+02:00,False
0295025cd4c1da52305b6f2e3e0755ab4c0f7148,"README.md: update readme wrt installation

Add preference to using pipenv over plain pip.",2022-04-07 21:10:29+02:00,True
5c5ff9e01f9624d13ff60121d190842b089f724e,"README: fix header alignment

use align=""center"" instead of style",2022-04-07 21:13:42+02:00,False
89bfff9e6a8966a1306851b087d7e8339942ce9f,"README: beautify readme files

center heading and badges. Add example heading from #541",2022-04-07 21:36:35+02:00,False
5809d7664d04bdf77bda9270ad6d0117adc8bfa2,"README: change format on section

Add information section to make it better visible",2022-04-07 21:49:05+02:00,False
5429b86eb45009a35080372ea00d31e41007aa94,Add parser config for lande.finance,2022-12-01 19:08:02+01:00,False
ec562e186b3522aa1748b0aaf60f9263bf93a991,"github.yaml: update python version in build matrix

update build matrix to drop support for python 3.7 and add
support for 3.11 and 3.12",2022-12-02 18:13:54+01:00,True
8df1313fa90a9af9f917cafe7d034f829b2b3dff,"readme.md: remove python 3.12

3.12 only available as alpha version right now.",2022-12-02 18:15:07+01:00,True
688f44267fb18b74a040bf33853b6fce6a0e39be,"pipenv(chore): split requirements.txt file

Previously, requirements.txt file included everything, even dependencies
from top level packages. Using newer pipenv version gives the
requirements subcommand to create matching requirements.txt files.
This change also introduces separate requirements.txt files for
production and one for development purposes. This way only the
necessary packages are installed when you only want to use it.
This change should hopefully also improve the maintenance effort on
dependabot side.",2023-01-05 22:09:38+01:00,True
