sha,message,date,result
975d5951ab5e715565b7cd3c21a63ef5cbc461b0,Initial commit,2019-05-05 15:20:45-06:00,False
e6658109eb31bab47d9fc09ddf7d855a30aeea08,Add README rough draft,2019-05-10 18:26:27-06:00,False
9b2b01be5714a20e888d69a56fe6c15409e3fb3f,Update README rough draft,2019-05-15 18:59:36-06:00,False
cf2ceccaebe231e373663b6478149db049c542db,Update README rough draft again.,2019-05-15 20:07:49-06:00,False
fdb3b0b5e84b6818b730c5eca49adaa405f90810,Update README rough draft again.,2019-05-18 12:53:11-06:00,False
d4380a17caf8c6a5674531c53b792b4a73f079b4,"Add keywords, and use them for kwargs syntax

Use .. instead of / for qualified symbols

Spell out lambdas and use \ instead of # for reader macros,
for better emacs compatibility (Python has no char type.)",2019-05-18 14:49:09-06:00,False
f8136bb10335cb02c32758feca8f87be02987822,Update readme rough draft,2019-05-18 14:52:30-06:00,False
fece44eb01f07cf4f4e1eac07b11d6ae2b961ecd,Rename macro namespace (from `!`/`xBANG_` to `_macro_`),2019-05-18 15:08:45-06:00,False
dc175d21fbb6ce97d8dfeca193e9a24bfcc11f44,"Add TODOs to readme

update rough draft",2019-05-18 17:13:48-06:00,False
c67e34ac87168a38bde537abe33158c2024243a6,update todo,2019-05-18 23:13:40-06:00,False
25deed2910e1f997ce32aee48b12afc363345a42,Allow stacked reader macros without whitespace,2019-05-20 21:51:09-06:00,False
78f042f872b2b0e07d0fa290c49a94cc698a25d5,"Bake in basic reader macros ,@ ' ` , without \",2019-05-20 22:15:27-06:00,False
299eef5d4466b83297de2b46b1f19fc4c6e6f476,Implement automatic qualification of symbols in template quote,2019-05-22 09:31:05-06:00,False
404a280a48f53dc9df087e4349af92d8f3c33bd4,Update README,2019-05-22 10:58:13-06:00,False
b57beddac9d958cdfee122eb571f93de589541c1,Add more compilation documentation to the TODOs in the README,2019-05-22 22:31:45-06:00,False
938a7a5eab1658a90be7c0431d224c06f074cded,Add docstrings to FAQ,2019-05-22 22:38:11-06:00,False
dff5622f35c67f290acdb764f5c4f8b94ac76a81,Clarify how to transpile multiple modules in a package,2019-05-22 22:43:13-06:00,False
c3fc090cc708678d24df903bceeddfadcd9a5594,Rework transpile() for use in __init__.py,2019-05-22 23:01:48-06:00,False
04c240d6959feb6c23f8e1c7463c2c9c8dbb3fc6,Fix transpiler extension bug,2019-05-23 09:26:49-06:00,False
5402c923c04a7e93234794a1cd4d2873c67b61da,"Cleanup README

Add Table of Contents",2019-05-23 23:05:13-06:00,False
19760958362f8c8b5264d1d66e12b67ea2d8644b,"Change reader macro syntax to use a trailing backslash instead

Update readme for new reader macro syntax",2019-05-24 12:45:17-06:00,False
6b44163373ac74225dbfd7e87b65e3b8d40290d4,"Change REPL prompt

README fixes",2019-05-27 10:27:36-06:00,False
481ad80be8db5a4434f64d8b476bf77cade7d94f,Add more syntax highlighting to README,2019-05-27 10:41:06-06:00,False
495a1590f370ad458e4bf1de148d0b632ed41f1d,Rework README and make doctests pass,2019-05-27 13:23:38-06:00,True
1cbed62c54f99f0d4a18cab246dec4f46abfdf59,Add new prompts to FAQ,2019-05-27 13:47:40-06:00,False
981687194851bef15eb3f303003bf6a205cd34ec,em-dash,2019-05-27 13:58:07-06:00,False
9344d80a11de6fba89d9a52ba6e91cdc3d056ed5,"Update no-default kwonly example from : to :_

Add some lambda commentary",2019-05-27 14:18:54-06:00,False
0f1fd301a6ea8fc8ee077d5d6652e9cd9a283e9f,Explicitly support text macros,2019-06-01 17:30:13-06:00,False
198a7a40d23ae8b7c30e00f927cd82dfcaa005dc,Implement tests for Hissp REPL examples in documentation,2019-06-02 14:12:43-06:00,False
c475b5e8336e0e3181cee90bd09bf0e54a993463,"Change `pydocstring` fences back to `python` for GitHub compatibility

It's too bad they can't support the same markdown.",2019-06-02 14:12:49-06:00,False
207b176de42e2c09ec48e2f367618c99a1ee4bf2,Fix some README errors,2019-06-02 17:52:04-06:00,False
846850ea1f89e9578f94e9d30093c9b242ee3d58,Get Lissp working in .rst doctests,2019-06-08 16:40:07-06:00,False
8f8808ff850a67759dff1b9980aefbb9639de236,Fix doctests. Fill in Macros section more.,2019-06-09 19:52:04-06:00,False
aa457550b636fbff847766c290c0592de06fccb2,"Change :_ to :? everywhere.

It actually was :? originally.
I tried it with :_ and ultimately didn't like the change.",2019-06-09 23:28:08-06:00,False
e11170d3f2fdc17494e3673630ddeb2b11577072,"Change reader macro character to ``#``

The ``\`` was confusing Emacs.",2019-06-14 22:53:57-06:00,False
3a145403803c7b56e15e056fff8d07975a1c959a,"Fix issue with compile-time local imports

And update tests for it.
A macro may use a variable from the same module later.",2019-06-15 22:09:32-06:00,False
a14770c19dae8165266ca81d5d54ad15752ea06e,Allow ``xAUTO..._`` to match any number in document tests,2019-06-15 23:28:24-06:00,False
b5b105ae33a15a8cad92524be7ace469330b0816,Final cleanup for PyPI package release.,2019-06-29 15:07:22-06:00,True
