sha,message,date,result
a3aa63b433c82c48a4446c93997dbb5904e12345,Initial README.md commit,2021-01-27 13:55:58-08:00,FALSE
dd6c14686bf7766e68c4a6229fe3ce553ea92b8f,Initial import,2021-01-29 07:44:48-07:00,FALSE
a4f45321f76ef70064472b00cc4510278611e0d4,"Minor cleanup, added functions profile",2021-01-29 08:08:37-07:00,FALSE
5510f35b8006504f80eb624ff7b44a48f276faba,Fixes issue #1 - Remove 'Deploy an NGINX Ingress Controller using Helm 2' example,2021-02-05 06:47:30-07:00,FALSE
f19c8654dfab4fef75ec19b6c4fe5cd3d0848c0e,Fixes issue #6 - Add a Spring Boot client-side mutual TLS example,2021-02-08 09:27:25-07:00,FALSE
ed2b573e839c18d59ba50d0c4adacda445d228fd,Fixes issue #7 - Add a Spring Boot server-side mutual TLS example,2021-02-08 10:52:22-07:00,FALSE
daca10d33e87c79f50f336a7ad9376e845c83802,Fixes issue #8 - Add create a self-signed certificate example,2021-02-08 12:13:13-07:00,FALSE
c2d64e34d54a2af3ec788938fa785258f691e17e,Fixes issue #4 - Add a Spring Boot server-side SSL/TLS certificate example,2021-02-08 15:43:56-07:00,FALSE
6a79f258b169431d2576eab8b03d2727df68e1aa,Fixes issue #4 - Add a Spring Boot server-side SSL/TLS certificate example,2021-02-08 15:49:42-07:00,FALSE
97763404c616073f327fe7297be3f30f0dcefdc2,Fixes issue #11 - Remove Deploy Tiller using Helm 2 example,2021-02-09 07:03:13-07:00,FALSE
b4a25d2a9f4d1d2b8a7c575c0ae1b0944298f771,Fixes issue #20 - Add workflow status and link for Resource Group examples,2021-02-12 16:50:29-07:00,FALSE
d71a60af806ed8cdf3a9749c6595cf40a2ad7fd7,Fixes issue #20 - Add workflow status and link for Resource Group examples,2021-02-12 16:56:44-07:00,FALSE
e45ae36fd57fa681aee92a8641a6390c6ef99b8a,Fixes issue #21 - Add workflow status and link for Azure Container Registry examples,2021-02-12 17:07:25-07:00,FALSE
1c408ae07606a5b5a39a3d847f4dd8b63b1f62e0,Fixes issue #21 - Add workflow status and link for Azure Container Registry examples,2021-02-12 17:08:06-07:00,FALSE
