sha,message,date,result
03944b6c02e77f6d693e837e2e1959e88f20e822,Initial commit,2020-12-29 14:05:57-06:00,FALSE
48de4e1e1f2efcf65ca146e3bdeee77f94696a77,Initial (incomplete) README,2020-12-29 14:11:29-06:00,FALSE
4dff189da2527772034d81583fde0b965b605170,Add more to README,2020-12-29 16:34:20-06:00,FALSE
b9e93dd7ff64310b2ccfc567d17846c6040a0ccd,Remove samples from main README,2020-12-29 16:48:16-06:00,FALSE
e8f08cb961e52dd105584ad3a33976e12b30e4e9,Add group info to README,2020-12-30 11:50:20-06:00,FALSE
b2a845875cc99e21214788de53b6d5f8dac35e95,Add make-based installation steps,2020-12-30 13:57:21-06:00,TRUE
0a1d77b27f2d3b39af9c1b3a069ff9319148e107,Add YAML file format,2020-12-30 21:31:33-06:00,FALSE
eb1f0392a96267ea8485fd4776ce05cc930b3006,"Add ""Optional but often needed/wanted"" section",2020-12-30 21:33:04-06:00,FALSE
691f45fe71cdc93d3ac46a72e299a794abea13b7,missing colon,2020-12-30 21:33:25-06:00,FALSE
2657dac0a27a5dae466496c1a0dbec0224fd3d6e,Add usage examples,2020-12-30 21:36:51-06:00,FALSE
7f39d84e4aefe1bb6e0c3b1bd5b4f0c0cd4c673f,add basic performance info feature,2020-12-31 17:26:44-05:00,FALSE
e0a9bbfd013a22111749827e71cb94768c1965d6,change loc of global services dir,2021-01-01 12:18:34-05:00,FALSE
55ebf1ba54e7b7c1a7c9f0ba0dbac2d83ca18be9,"Add performance attributes to readme, misc fixup",2021-01-01 13:28:49-06:00,FALSE
08206dbacec949c6a2836aac84afacf14f49f1d3,Tweak install steps,2021-01-01 15:21:29-06:00,TRUE
537f366bebd87f41c71a2057bbb0f58eee3d4dee,document PTF requirements for performance info,2021-01-02 19:32:25-05:00,TRUE
13b6d4e3df0a781b868eea69dbea7771c0a1b99a,"add cmdline args for perf sampling time, batch output, colors",2021-01-04 15:05:44-05:00,FALSE
670b5660ad6dfbc4e37b8f2c1520ecbd1c804ca3,shorten command line opts,2021-01-08 18:20:14-05:00,FALSE
75e15afab96e3c3bc41b0705ec2223354042c69b,Various README updates,2021-03-03 16:21:09-06:00,TRUE
