sha,message,date,result
c93725a4c38113d41be81e1aaf77549d6f6c3306,Initial Commit,2019-04-16 16:50:22+10:00,True
810dcce8797322891a9b56f05260999243fae0f1,Kick CircleCI off,2019-04-16 17:15:58+10:00,False
4b295d2fe578c37db8b1ead3d890a1a31933c7b8,readme file updated with the new names of the notebook files and added description for the cirq notebook,2019-05-24 17:17:16+10:00,False
198bb1568c430217190e88434381612f42dd0588,link to expost notebooks fixed,2019-06-04 15:22:55+10:00,False
892eafe11f00a3b7ad90d29f10f8eb01b9ef3561,link text to both notebooks also fixed:,2019-06-04 15:24:31+10:00,False
d680520a63fce071945bd06e8f38c9dcc88ea9b3,Update readme with Poetry alternative,2019-06-13 11:29:11+10:00,True
a04dd0f1acdfcf1128866958e5e7359253be0c86,Use standard workflows,2019-06-14 15:58:45+10:00,True
65620ecdee4d84d739a437a9363750c4eaab76e0,Removed notebooks and updated readme,2019-06-17 16:47:26+10:00,False
e6d195b65a0b8d54bc5c06d20a8148523f15370a,Prettier formatting,2019-06-21 15:30:12+10:00,False
2cbc5480a70e23c1b905bc1962be49d1e20b4d51,Long line fixes,2019-06-24 12:02:55+10:00,True
e991cfc79c76fd4cbfc5218011934f619a57c1b1,Markdown linting and prettier formatting,2019-07-08 12:10:09+10:00,True
6b6e0e97740c0cdf007bd95a1d3c28796d92e7c9,Update README.md,2019-07-23 13:47:34+10:00,False
bbaf434b8d6d09bef3e22051b0b3f28e507b3530,Update README.md,2019-07-23 14:08:09+10:00,False
fe5bd9921fa396e0291c3352309d71d722597842,Documentation generation (#25),2019-09-12 09:45:56+10:00,True
ee786f86314c51301c10633f82a6153ab33d45ac,Fix Sphinx spelling (#37),2020-01-16 11:42:26+11:00,False
99054942ff5f74769c89875edcd4b115f2abc1e8,[DEVOPS-173] - Add GitHub Actions build badge (#42),2020-01-24 16:49:14+11:00,False
8d0b300605bf6ffa35659dce2450b23d9df051d6,"Doc tweaks to open controls

Specifically:
 - fix some typos in the README and installation instructions
 - update the top-level package docstring to be more consistent with the
 visualizer
 - include a summary sentence in the docs index

https://q-ctrl.atlassian.net/browse/QENG-678",2020-02-20 14:53:55+11:00,True
493bca6449d4d72bc5974b0640ca5248c06281a0,"Add example notebooks (#71)

This also requires adding packages nbval and qctrl-visualizer as dev dependencies, to make sure the notebooks get tested.

Fixes #70.

https://q-ctrl.atlassian.net/browse/QENG-802",2020-04-08 12:31:29+10:00,False
11a5026485698eb4e822f4204d9e0306e1b7a51c,"Removing setup-poetry.sh (#140)

* Removing setup-poetry.sh .

* Updating documentation to not mention setup-poetry.sh as the method to install poetry.

Co-authored-by: Q-CTRL DevOps <devops@q-ctrl.com>",2020-10-23 15:53:01+11:00,True
5721eae5633ad313b900d5f9ccab5badd9cd2b32,Update README.md,2020-11-26 15:20:07+11:00,True
47ff705cac01f6b5f402d2f5ecc93319d60e9651,"Apply pyproject.toml standard (#167)

* Apply pyproject.toml standard

* Update setup.py/README.rst to match pyproject.toml/README.md

* Open controls documentation link

* Update setup.py/README.rst to match pyproject.toml/README.md

* Add repository

* Update setup.py/README.rst to match pyproject.toml/README.md

Co-authored-by: Q-CTRL DevOps <devops@q-ctrl.com>",2021-01-12 14:07:29+11:00,True
89a7fc5d37b056d802d39e9c8917065d9a4d755e,"misc: Add pre-commit hooks (#172)

* misc: Add pre-commit hooks.

* Update README.

* Update push workflow to use pre-commit.

Co-authored-by: Q-CTRL DevOps <devops@q-ctrl.com>",2021-02-10 10:46:05+11:00,False
53b5f18a3f3552455a7ec1c8c747203b6b2075c3,"misc: Add information about pre-push (#175)

* misc: Add information about pre-push to the README.",2021-03-05 15:45:50+11:00,False
66322e2a68c1acbd1b6d8c29eb4c01e7d5ee2c75,"fix: Fix project name on the README (#178)

- Change header of the README to ""Q-CTRL Python Open Controls"".",2021-03-24 09:13:32+11:00,True
f4add6e808c3e5f272c0617ade72f1782b8fa2a0,fix: Update out-of-date readthedocs information (#184),2021-05-03 13:02:20+10:00,False
d99d56f87cea88c8263deac7e022ce41e77eeb10,"misc: Separate README files (#188)

* misc: Separate README files

* Update setup.py/README.rst to match pyproject.toml/README.md",2021-05-18 15:26:26+10:00,True
