sha,message,date,result
30e24567d50e834c8b471cbeec78328de02462c2,"Setting trunk version of PRISM to 2.1.dev11.sim8.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@2 bbc10eb1-c90d-0410-af57-cb519fbb1720",2006-03-03 16:25:15+00:00,True
b54050a19983cc041d3396a4c5c8364ab0c8cf6e,"PRISM trunk layout rearrangement.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@4 bbc10eb1-c90d-0410-af57-cb519fbb1720",2006-03-03 17:12:02+00:00,True
f4917ae3ad27e217588aae6ce96914a5f49402fa,"Preparations for 3.0.beta1 release.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@44 bbc10eb1-c90d-0410-af57-cb519fbb1720",2006-03-29 08:45:39+00:00,True
963962da84226659bebf7e1faf435654fe8d0ba4,"New README.txt (installation instructions now in manual).

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@54 bbc10eb1-c90d-0410-af57-cb519fbb1720",2006-07-05 10:13:06+00:00,True
031c8968b106068b29923fe7ef21727396ef7544,"Final changes for 3.0 release.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@55 bbc10eb1-c90d-0410-af57-cb519fbb1720",2006-07-05 22:42:39+00:00,True
c002cbd19febc400ad37195d470ed688564b9acc,"Updated version info: 3.1.beta1.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@104 bbc10eb1-c90d-0410-af57-cb519fbb1720",2006-11-02 09:47:44+00:00,True
5064ae83f1a9668c428fe86453c2f5956c2a779e,"Synch with updates to README/VERSIONS/CHANGELOG made for 3.1.beta1 -> 3.1.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@158 bbc10eb1-c90d-0410-af57-cb519fbb1720",2006-11-17 09:42:23+00:00,True
4acf85712b1227bc18f08064f7a914cc864a28e6,"Updated acknowledgements in README.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@254 bbc10eb1-c90d-0410-af57-cb519fbb1720",2007-04-06 20:03:21+00:00,True
e80af1a74bf038f5801f5359dee2c44301351836,"Make sure 3.1->3.1.1 changes included in trunk.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@256 bbc10eb1-c90d-0410-af57-cb519fbb1720",2007-04-10 09:04:34+00:00,True
d41897dce96774a762e642d0174fa60abd07c518,"Added Alistair to acknowledgements.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@293 bbc10eb1-c90d-0410-af57-cb519fbb1720",2007-04-23 09:21:31+00:00,True
e715cf3c8bee67adf2f22c4d80d7d654a80d75ad,"Updated more email addresses, affiliations, etc.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@548 bbc10eb1-c90d-0410-af57-cb519fbb1720",2007-12-06 11:11:33+00:00,True
abcaa2ed636f45d0d63a0ae76955389a5f3e4fa2,"README.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@557 bbc10eb1-c90d-0410-af57-cb519fbb1720",2008-02-08 09:19:22+00:00,True
484d803121001ed99adca7e810a7f1cacc13b3b4,"New version numbers.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@564 bbc10eb1-c90d-0410-af57-cb519fbb1720",2008-02-25 12:31:08+00:00,True
b0f6994f55b3a15b6c9117ceb60c9b991499b361,"Added some useful scripts to etc/scripts.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@778 bbc10eb1-c90d-0410-af57-cb519fbb1720",2008-04-29 16:48:49+00:00,True
bf28deeddd5f55428f8cac831b63c34b9913103c,"Pre-3.3-release stuff.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@1073 bbc10eb1-c90d-0410-af57-cb519fbb1720",2009-05-20 10:23:40+00:00,True
389d6ee2c7ea8eb29f9f078389461c7c6b37f258,"Formatting in text files.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@1707 bbc10eb1-c90d-0410-af57-cb519fbb1720",2010-01-22 16:48:34+00:00,True
2e6a5be184f36ab14b42524da03b4d2dea879906,"README.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@1956 bbc10eb1-c90d-0410-af57-cb519fbb1720",2010-06-30 09:17:24+00:00,True
45e45cb7a50cdf194eee3c7cda27f6ab39272aff,"Removed des files

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@2137 bbc10eb1-c90d-0410-af57-cb519fbb1720",2010-10-15 14:23:10+00:00,True
5580c71566953fa3e985e8e631ae757b7926556b,"Removed extra accidental bits of last commit.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@2138 bbc10eb1-c90d-0410-af57-cb519fbb1720",2010-10-15 14:29:38+00:00,True
6293a36ddf89dfaaecb3fbf758f805829de0a312,"Notes.

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@2139 bbc10eb1-c90d-0410-af57-cb519fbb1720",2010-10-15 14:31:25+00:00,True
fffba04b3b70f19da5a5a283848989fb85d11329,"README (people).

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@2261 bbc10eb1-c90d-0410-af57-cb519fbb1720",2010-11-19 18:30:33+00:00,True
b469b11054e9d329880a84aa2a01649cba0bc7e2,"README/CHANGELOG

git-svn-id: https://www.prismmodelchecker.org/svn/prism/prism/trunk@2336 bbc10eb1-c90d-0410-af57-cb519fbb1720",2010-12-16 09:46:50+00:00,True
