sha,message,date,result
40a5535da4e2e43e983e311c26cc0556abb660a8,Initial commit,2020-02-05 09:53:04-05:00,False
0f77ee59b14510f6e3288458c692ce90c0dc5a56,"Pin the dependencies using pip-tools

Since this will be deployed on RHEL 8 and several of the required
dependencies are not packaged as RPMs, let's use pip-tools to
ensure the installed dependencies are deterministic (pinned versions)
and relatively secure (hashes).",2020-02-17 13:51:42-05:00,True
ef66b2ff043893ea57aac0332466f442c77a8657,Verify that the pinned dependencies are not vulnerable using safety,2020-02-17 13:51:42-05:00,True
41d101c08edd132a9a096857016049f0e0f61a93,"Stop managing authentication to the container registry

The authentication should be handled by configuring ~/.docker/config.json
instead.",2020-02-24 15:39:18-05:00,True
d51e2193132781a8c29ae350914b1106dfa2bcbb,Document the development environment,2020-03-04 15:36:04-05:00,True
a15c725679124db10e2bd9b975e26ec425641a7c,Document the coding standards,2020-03-04 15:36:04-05:00,False
d0c6acc21ed2a3a5960e1a0c60006fd5ad8119c8,Document how to run the unit tests,2020-03-04 15:36:04-05:00,False
2cd3b65303b56f5e942101a17bb42dee9863cb78,Fix the title of the read me,2020-03-04 15:36:04-05:00,True
4486629e87f53163fc206afd36f22f48b5232deb,Document the configuration options,2020-03-04 15:36:04-05:00,True
5d53652234a4c18e2e63aa26a3c2e1145d6d5d8d,Generate the Read the Docs documentation,2020-03-04 15:36:04-05:00,True
f1874eb2c3059eb07c307af815ac2c0d883594c8,Add links to the external documentation,2020-03-04 15:36:04-05:00,True
2dfaf1becfeb2a6611003dd3cd449cebd1a2db83,"Allow IIB to specify a different registry to use for the index image

This will allow IIB to use the registry directly, but tell users to
use the registry proxy. This makes it so that IIB is not reliant
on the registry proxy.",2020-03-06 13:23:27-05:00,True
5af2492e0820d4ac4dff324efc1cacb171fcfad3,Add retry decorator for critical commands,2020-03-06 14:59:41-05:00,True
cb4e58316a76489c79014fc6aa8627f5ec5f2562,Add timeout to skopeo commands,2020-03-06 17:30:48-05:00,True
310417107045ac7783d7af2d74a185009977f59d,"Add the overwrite_from_index parameter

This allows a privileged user to instruct IIB to overwrite the
from_index image that was provided with the built index image.",2020-03-26 17:22:56-04:00,True
956252a7f6077da0199f9891eb454447877d32e6,Add a configuration to force privileged users to always have overwrite_from_index set to True,2020-03-26 17:22:56-04:00,True
926d067c5040e49011b068e927eaa8b2661d8228,Fix markdown linting errors,2020-04-13 13:33:11-04:00,True
581e48b4cdcf8b156081fe90729f16672c68455e,"Allow customization of celery queue by username

Ticket-ID: CLOUDBLD-476

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2020-04-14 15:43:50+10:00,True
66428833d87bb3e7de31f764c5b52e32123f5056,"Explicitly set the test requirements in requirements-test.in

Using two separate files to generate a compiled requirements file
confuses dependabot.",2020-04-23 10:49:46-04:00,True
08bcc003f98104f1d6c45b0bcd476a3644e773e4,"Pin to digest during regenerate bundle images

Ticket-ID: CLOUDBLD-523

Signed-off-by: Luiz Carvalho <lucarval@redhat.com>",2020-04-29 12:21:24-04:00,True
5b89a173a26ec40346482cdb15aeedf5f2190501,"Publish state change messages to an external AMQP 1.0 broker

This commit adds support for publishing request state and batch
state change messages to an AMQP 1.0 broker for external consumers.

In addition, an instance of Apache ActiveMQ is added to the
docker-compose development environment so this functionality is
used during development.

Resolves CLOUDBLD-522.",2020-05-04 11:04:31-04:00,True
2cddc92f00783b7625e56d625257d520f862559b,"Fill in spec.relatedImages when regenerating bundles

This also keeps IIB from pinning pull specifications when
spec.relatedImages is already set. A request will fail if
spec.relatedImages and the RELATED_IMAGE_* environment variables
are set in any of containers in the ClusterServiceVersion file.

Resolves CLOUDBLD-524.",2020-05-05 11:52:23-04:00,True
21af49ea1bfad920751d37a7d66b2e433a3bae66,"IIB Greenwave Integration to gate on bundles in ""add"" requests

Refers to CLOUDDST-328",2020-05-05 13:33:47-04:00,True
b5bc38da86a69aa244116bf9e160e9b63433e0bb,"Make message publishing failures nonfatal

This is more relevant when considering the changes in PR #78.",2020-05-07 12:04:37-04:00,True
a577162c667d27cce7a9ebe736b71a3800ca2118,"Support adding annotations to a batch when using the regenerate-bundle-batch API endpoint

Resolves CLOUDBLD-924",2020-05-11 15:49:37-04:00,True
