sha,message,date,result
4657ccc02a2b70b2fa1f68d57add5c913dfe340f,First commit,2017-02-02 09:46:31-05:00,FALSE
40ce713b05e9ba5e65f7616d3f6c5660dd5c6b2e,"Add basic infrastructure
 * Adds code to create the VM and Docker images with Keras and Tensorflow
 * Adds code to spin up AWS EC2 to run programs on GPUs
 * This was copied from https://github.com/OpenTreeMap/open-tree-id",2017-02-02 11:31:37-05:00,TRUE
7f8c6cf4ee21463c57523194b0d9b0faa6ef4d94,Update README.md files,2017-02-12 15:28:57-05:00,FALSE
c2fc5a51008b921bf3151f23e1371e913f856fbb,Fix README files,2017-02-16 09:38:36-05:00,FALSE
e057377c3c50a76268edf7626d20b4c0e2d39597,"Update README files

* Get rid of scripts/download since all data gets stored on S3 from which it can be downloaded via the UI.
* Add a simple experiment file to test that things work",2017-02-28 19:04:22-05:00,TRUE
abb4a5db40f4e953fd43962847399f5f76cf6819,Update READMEs,2017-03-08 10:51:20-05:00,FALSE
d8d98ef44135bcdaf7831c1aac607de4487d11fb,Update README.md,2017-03-24 19:29:55-04:00,TRUE
6d0a98bc8ecc57225ff66c2a87d519b710fcac79,Add write-up on initial results,2017-03-28 13:14:15-04:00,FALSE
cd4ce234636c0aab925bd3f73b16424156f25780,Update REAMDE.md,2017-04-20 10:58:11-04:00,TRUE
40aa83ec20c0fa4c154a4cddf9f4e05b66248273,"Rebrand project as raster-vision

* Change references to open-tree-id and keras-semantic-segmentation to raster-vision
* Inject the data_dir and s3_bucket as environment variables to make it easier for
other people to run the project
* Move ISPRS data to its own subdirectory
* Update deployment to run off the new R&D AWS account
* Update readme to describe new, broader focus of the project and to use the raster-vision name",2017-05-09 16:01:23-04:00,TRUE
9808a57fe95a758b812c2c7800ee70a9f6b1de9f,Update README.md,2017-05-10 15:03:12-04:00,TRUE
cb2060bdf2c6bc37eaeee5253a5c6b86ca5d8b9c,Update README.md re: tagging,2017-05-19 11:09:09-04:00,FALSE
