sha,message,date,result
64529b4741e4757648776c69a3ad55fd3a172a5c,first commit,2010-03-15 09:37:37-05:00,False
73b0d73c1cebfbd8d15760c5a2cd90bf45206edb,"Added a readme, changelog, and license.",2010-03-24 17:20:12-05:00,True
6bc1d0c518b18c80b3ee891040ff54269e355bd7,Made ssl certificate path relative to braintree folder.  Fixed casing in README.,2010-03-25 14:41:12-05:00,False
678bb90b45dc525cfef7008b661f511b5a0202ac,1.0.0,2010-03-25 15:00:44-05:00,True
46cf3e1688982c48be60fa711af1d9f922db703c,Fixed alignmenet of README.,2010-03-25 15:09:10-05:00,False
3a4830279bb0acb5ee284349b71be27d15b67653,1.0.0,2010-03-25 15:59:04-05:00,True
e212df7df7f195cd41cc1456002050d7abb0ff79,1.0.0,2010-03-25 16:43:46-05:00,True
ba1d0235188dc92911f3b40cd69e5cb8aeb37e66,Updated quick start example to give an example of proper error-checking,2010-04-14 10:13:27-05:00,False
5b0b2bbf7732442a3655b3587290cf47b6f611d4,1.2.0,2010-04-14 10:34:54-05:00,False
59a2d2db764a33f54e0fdd715d1787ac9a235f95,updated README quick start; set credit_card_verification and transaction to None on error result when not available,2010-04-22 12:59:04-05:00,False
da6ec4a47703be64483c2398a0a01daa159bff95,2.0.0,2010-04-23 11:40:39-05:00,False
135e39096de2020f238525ac7a9970e8ac60db19,Use isinstance instead of type to cater to inheritance,2010-05-17 12:04:44-05:00,True
e730534dc4e6bd4b3b49a1a8013e7210a8ff5d2c,2.2.1,2010-05-17 12:07:33-05:00,True
6f8093b0c261e6dd06fa59ea26a30e0bf9dfd756,"added customer_id to top level of customer update signature for tr_data, fixed bug in wildcard signature logic that allowed unintentional use of customer_id at top level, updated showwarning override in test environment for python 2.6",2010-07-04 13:03:45-05:00,False
0097ecbee806d7f9e9bfe32286d7ccea7c93ced8,2.4.0,2010-07-09 13:19:49-05:00,False
b2f9deb7efade821e319bfb270f305a82ab9ce14,n/a - Link to new docs,2010-07-09 15:10:08-05:00,False
94d430b6e0be4a20526da71bf734dd52f12b670a,2.5.0,2010-08-19 12:20:48-05:00,False
b4949145b119dcd7bdac68ebcee8f6c3f079b061,update readme,2010-09-20 10:43:03-05:00,True
ab32e91ce8cea28a1584ef5eb6b3fda936d6757a,changed domain from braintreepaymentsolutions.com to braintreepayments.com,2011-05-01 13:30:33-05:00,False
d2d55cbfa838b0549d89de32991227a481d22cd7,2.10.1,2011-07-19 16:48:14-05:00,False
079fe4b911fb377c4268ea8bbba8fd0ea068030d,experience #207 - fixes and updates docstrings and sphinx templates,2012-10-31 20:08:12+00:00,False
f71a22e65b359c776a3af3183fece168cbf5be2c,2.18.0,2012-11-09 12:25:02-06:00,False
3b6785db47e66e90bd2a280e7415dfa92830d548,Update README to reflect requests OR pycurl as depencency,2013-04-08 22:17:18+00:00,True
21628f0bedbcba55f7ac032e4af42e0be55a1a69,2.21.0,2013-05-01 16:19:01+00:00,True
40ebe1c6ad9eb39d0e2c1747bcc6f45c117545a5,Add open source attribution.,2013-11-01 20:00:50+00:00,False
a366e470ba28c2734019147bb50611834474f9a1,Add open source attribution.,2013-11-01 20:02:31+00:00,False
3d8ed482270679ebfa72b3a4c7888831eb2dfc47,github #42 - Link to Venmo's testing lib in README,2014-04-10 16:25:58+00:00,False
fe017ec8122cd1b361f1eda5311572ddb9a00d93,2.29.1,2014-05-12 16:41:58+00:00,False
e284d291e0d23b231250873cbc667402b4d379b9,"Merge branch 'master' into python_3

Many conflicts, especially noticeable are those around the
SignatureService.",2014-06-13 20:03:17+00:00,False
1f43b54c49e7b7a226e24cf15b80f1ee8c2b1135,python 3 - Update README.,2014-06-27 16:12:14-05:00,True
